download-csv.php﻿id;title;image;release_at;summary
180;"Tsukasa Shishio";;2024-04-22;"Tsukasa adalah antagonis utama dalam cerita. Dia adalah seorang petarung yang kuat dan memiliki pandangan yang berbeda tentang bagaimana dunia harus dibangun kembali setelah bencana. Tsukasa percaya bahwa hanya orang-orang muda dan kuat yang seharusnya dibangkitkan, dan dia berusaha untuk menciptakan dunia baru tanpa orang-orang yang dianggapnya lemah."
179;Yuzuriha-Ogawa;https://cdn.talkie-ai.com/talkie/prod/img/2a06303e-8066-496f-9720-5403f0b780b5-1-5-400x0.webp;2024-04-24;"Yuzuriha itu teman masa kecil Senku dan Taiju. Dia memiliki keterampilan dalam kerajinan tangan dan sangat peduli terhadap teman-temannya. Yuzuriha berperan penting dalam membantu Senku dan Taiju dalam membangun kembali peradaban."
178;"Taiju Oki";;2024-04-20;"Taiju adalah sahabat dekat Senku yang memiliki kekuatan fisik yang luar biasa. Dia adalah sosok yang setia dan selalu mendukung Senku dalam usahanya untuk mengembalikan peradaban. Meskipun tidak secerdas Senku, Taiju memiliki tekad yang kuat dan keberanian yang tinggi."
177;"Senku Ishigami";;2024-04-19;"Senku adalah protagonis utama dari &quot;Dr. Stone&quot;. Dia adalah seorang jenius ilmuwan yang memiliki pengetahuan luas tentang sains. Setelah dunia mengalami bencana misterius yang mengubah semua manusia menjadi batu, Senku bertekad untuk membangkitkan kembali peradaban dengan menggunakan ilmu pengetahuan. Dia memiliki kepribadian yang optimis, bersemangat, dan sangat berdedikasi terhadap sains."
171;"Riddhe Marcenas";;2030-10-09;"Riddhe adalah teman dekat Banagher dan juga seorang pilot mobile suit. Dia berasal dari Earth Federation dan berusaha untuk memahami dan mendukung Banagher dalam perjuangannya. Riddhe memiliki kepribadian yang optimis dan berusaha untuk menciptakan perdamaian di tengah konflik."
170;"Marida Cruz";;2030-10-08;"Marida adalah seorang pilot mobile suit yang merupakan mantan anggota dari Neo Zeon. Dia memiliki latar belakang yang tragis dan terlibat dalam konflik antara Banagher dan Full Frontal. Marida memiliki kemampuan bertarung yang hebat dan berperan penting dalam cerita."
169;"Full Frontal";;2030-10-07;"Full Frontal adalah antagonis utama dalam cerita. Dia adalah pemimpin Neo Zeon dan dikenal sebagai ""The Second Coming of Char"". Full Frontal memiliki tujuan untuk mengubah dunia dan percaya bahwa konflik adalah cara untuk mencapai tujuan tersebut. Dia memiliki hubungan kompleks dengan Banagher dan karakter lainnya."
168;"Audrey Burne";https://www.nautiljon.com/images/perso/00/36/audrey_burne_20663.webp;2030-10-27;"Karakter Audrey adalah seorang gadis muda yang terlibat dalam konflik yang sama dengan Banagher. Dia adalah seorang pewaris dari keluarga aristokrat yang terlibat dalam politik. Audrey memiliki kepribadian yang kuat dan bertekad untuk mencari kebenaran di balik konflik yang terjadi. Dia juga memiliki hubungan romantis dengan Banagher."
167;"Banagher Links";https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtznEYv5ZeyfgcV6gvwBjl-UaYmOScEOgz6w&s;2030-10-05;"Banagher adalah protagonis utama dalam ""Mobile Suit Gundam Unicorn"". Ia adalah seorang pemuda yang terlibat dalam konflik antara Earth Federation dan Neo Zeon. Banagher memiliki kemampuan untuk mengendalikan Unicorn Gundam, yang merupakan mobile suit yang sangat kuat dan memiliki kemampuan untuk bertransformasi. Ia juga memiliki hubungan yang kuat dengan karakter lain dalam cerita, termasuk Audrey Burne."
149;"Zelda Arcturus";test2.jpg;2025-02-10;"Penyihir wanita dengan kemampuan sihir es yang kuat, sering bersaing dengan Elfaria dalam hal kekuatan magis dan pengaruh di kalangan penyihir lainnya."
148;"Wignall Lindor";test1.jpg;2025-02-09;"Teman Will dari ras elf yang memiliki keahlian dalam sihir penyembuhan dan sering membantu karakter lain dalam situasi sulit."
147;Logwell;https://static.wikia.nocookie.net/tsue-to-tsurugi-no-wistoria/images/3/37/Masterias_Noah.png;2025-02-15;"Seorang Ajudan Cariott yang setia, membantu dalam menjalankan tugas-tugas Magia Vander dan memberikan nasihat kepada Cariott mengenai kepemimpinan."
145;"Aron Masteriah Oldking";test2.jpg;2025-02-06;"Karakter dengan latar belakang misterius yang memiliki kekuatan besar dan sering terlibat dalam konflik di dunia sihir."
144;"Will Serfort";test1.jpg;2025-02-05;"Protagonis utama yang tidak memiliki kemampuan magis tetapi bercita-cita menjadi Magia Vander. Menghadapi tantangan untuk memenuhi janjinya kepada Elfaria dan berjuang untuk mencapai puncak Menara."
143;"Ellenor Ljos Alf";test2.jpg;2025-02-04;"Seorang High Elf yang menggunakan sihir fantasi, mampu mengubah fantasi menjadi kenyataan. Memiliki pandangan rendah terhadap mereka yang tidak memiliki sihir, termasuk Will."
142;"Zeo Thorzeus Reinbolt";test1.jpg;2025-02-03;"Penyihir berusia 48 tahun yang menggunakan sihir petir. Meskipun kasar, dia menerima semua orang tanpa memandang kemampuan sihir mereka, berkonflik dengan penyihir lain namun memiliki hubungan baik dengan Elfaria."
138;"The Avengers";https://example.com/avengers.jpg;2024-11-03;"Earth's mightiest heroes must come together to fight an unexpected enemy"
137;"Zelda Arcturus";;2024-10-01;"Penyihir wanita dengan kemampuan sihir es yang kuat, sering bersaing dengan Elfaria dalam hal kekuatan magis dan pengaruh di kalangan penyihir lainnya."
136;"Wignall Lindor";;2024-09-01;"Teman Will dari ras elf yang memiliki keahlian dalam sihir penyembuhan dan sering membantu karakter lain dalam situasi sulit."
135;Logwell;;2024-08-01;"Ajudan Cariott yang setia, membantu dalam menjalankan tugas-tugas Magia Vander dan memberikan nasihat kepada Cariott mengenai kepemimpinan."
134;"Rosty Nauman";;2024-07-01;"Sahabat Will yang sering membekali item-item sihir untuk membantu sahabatnya dalam pencarian di dungeon. Memiliki peran penting dalam mendukung Will mencapai tujuannya."
133;"Aron Masteriah Oldking";;2024-06-01;"Karakter dengan latar belakang misterius yang memiliki kekuatan besar dan sering terlibat dalam konflik di dunia sihir."
132;"Will Serfort";;2024-05-01;"Protagonis utama yang tidak memiliki kemampuan magis tetapi bercita-cita menjadi Magia Vander. Menghadapi tantangan untuk memenuhi janjinya kepada Elfaria dan berjuang untuk mencapai puncak Menara."
131;"Ellenor Ljos Alf";;2024-04-01;"Seorang High Elf yang menggunakan sihir fantasi, mampu mengubah fantasi menjadi kenyataan. Memiliki pandangan rendah terhadap mereka yang tidak memiliki sihir, termasuk Will."
130;"Zeo Thorzeus Reinbolt";;2024-03-01;"Penyihir berusia 48 tahun yang menggunakan sihir petir. Meskipun kasar, dia menerima semua orang tanpa memandang kemampuan sihir mereka, berkonflik dengan penyihir lain namun memiliki hubungan baik dengan Elfaria."
129;"Elfaria Albis Serfort";;2024-02-01;"Penyihir Agung berusia 16 tahun, teman masa kecil Will. Pengguna sihir es dan air yang jenius, menciptakan 12 rangkaian sihir El Glace Frosse. Dia adalah Magia Vander termuda dalam sejarah."
128;"Cariott Incindia Wiseman";;2024-01-01;"Magia Vander dari ras manusia, berusia 25 tahun. Memiliki kemampuan sihir berbasis api dan kemampuan teleportasi. Berperan sebagai pemimpin sementara Magia Vander."
117;ifa;ifa.jpg;2024-11-29;testing
98;Frieren;https://static.wikia.nocookie.net/frieren/images/3/35/Frieren_anime_profile.png;2024-11-02;"Protagonis utama, seorang penyihir elf yang merupakan anggota tim pahlawan. Dia memiliki pandangan yang mendalam tentang waktu dan kehidupan."
97;Fitz;;2024-01-20;"Karakter dengan identitas ganda, memiliki hubungan rumit dengan Rudeus."
96;Kraft;;2024-01-19;"Penyihir dengan pengetahuan mendalam tentang sihir, mentor bagi Rudeus."
95;Gina;;2024-01-18;"Karakter dengan latar belakang kompleks, memiliki hubungan kuat dengan Rudeus."
94;Sophie;;2024-01-17;"Gadis berbakat sihir yang menjadi salah satu teman Rudeus."
93;Aisha;;2024-01-16;"Karakter ceria dengan hubungan dekat dengan Rudeus."
92;Khadar;;2024-01-15;"Petualang berpengalaman dan mentor Rudeus dalam beberapa hal."
91;Miko;;2024-01-14;"Gadis muda berbakat sihir, teman Rudeus dengan kepribadian ceria."
89;Sion;;2024-01-12;"Penyihir kuat dengan penampilan mencolok dan sifat misterius."
88;"Ruijerd Supardia";;2024-01-11;"Pria dari ras Superd yang memiliki reputasi buruk namun baik hati."
84;"Eris Boreas Greyrat";https://static.wikia.nocookie.net/joblessreincarnation/images/6/6c/Eris.Boreas.Greyrat.600.3067829.jpg;2024-01-30;"Adik sepupu perempuan Rudeus yang lahir setelahnya, ceria dan penuh semangat."
81;"Zenith Greyrat";https://i.pinimg.com/474x/90/dc/55/90dc55c68cb83b46c867deb717a7f183.jpg;2024-01-04;"Ibu Rudeus yang penuh kasih dan mencintai keluarganya dengan sepenuh hati."
80;"Roxy Migurdia";https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/7ce25db3-05a9-4cb0-8b4b-d54cf61d146f/width=450/00002-37ba5.jpeg;2024-01-03;"Guru sihir Rudeus, berasal dari ras Migurd, dengan rambut biru dan telinga seperti elf."
79;"Sylphiette (Sylphie)";https://i.pinimg.com/736x/e6/80/80/e6808026ac5503b2e52bebf514024541.jpg;2024-01-02;"Teman masa kecil Rudeus dan cinta pertamanya, memiliki rambut hijau dan kepribadian lembut."
78;"Rudeus Greyrat";https://static.wikia.nocookie.net/mushokutensei/images/a/ad/Rudeus_Greyrat_Adult.png;2024-01-10;"Protagonis utama, seorang NEET yang bereinkarnasi ke dunia fantasi (isekai) dengan bakat sihir luar biasa."
